stock_code,REPORT_DATE,REPORT_TYPE,TOTAL_ASSETS,TOTAL_LIABILITIES,TOTAL_EQUITY,TOTAL_PARENT_EQUITY,ACCOUNTS_RECE,FIXED_ASSET,INTANGIBLE_ASSET,GOODWILL,SHARE_CAPITAL,CAPITAL_RESERVE,SURPLUS_RESERVE,UNASSIGN_RPOFIT,report_type,OPERATE_INCOME,ASSET_IMPAIRMENT_LOSS,OPERATE_PROFIT,TOTAL_PROFIT,NETPROFIT,PARENT_NETPROFIT,NETCASH_OPERATE,NETCASH_INVEST,NETCASH_FINANCE,has_balance_sheet,has_profit_sheet,has_cash_flow,TOTAL_CURRENT_ASSETS,TOTAL_NONCURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_NONCURRENT_LIAB,MONETARYFUNDS,INVENTORY,TOTAL_OPERATE_INCOME,OPERATE_COST,SALE_EXPENSE,MANAGE_EXPENSE,FINANCE_EXPENSE,RESEARCH_EXPENSE,SALES_SERVICES,BUY_SERVICES
776,2019-03-31,一季报,-0.8652096179124947,-0.6634884905272477,-0.6516531494466765,-0.6896817521207754,,-0.48982737197029846,-0.6469284700392319,-0.9629322239081325,-0.04833300546127674,-0.05533508561589262,0.011846750946084795,-0.5960252121171304,balance_sheet,-0.4636777514226405,-0.22307514885147411,-0.5408218539456842,-0.5389212901563751,-0.5501911111191524,-0.6171495556540536,-0.5821455019634588,0.551829636985301,0.7677377156272446,True,True,True,,,,,0.14065360431958207,,,,,,,,,
776,2019-06-30,中报,-0.8769121313383964,-0.678760596478123,-0.6478639752454314,-0.6834975670121773,,-0.4876608387584364,-0.6715587308822099,-0.9628894295557229,-0.04833300546127674,-0.05533508561589262,0.011846750946084795,-0.5844642655994835,balance_sheet,-0.45075250784711457,-0.22299940911519298,-0.4806295824202973,-0.49056976038771105,-0.5061498463278068,-0.5665168569743846,-0.46089440773201307,0.48837596483598167,0.5947304443970767,True,True,True,,,,,0.17020525659252353,,,,,,,,,
776,2020-06-30,中报,-0.8601189883515841,-0.6611552328174055,-0.6302575560298525,-0.6613646034908524,,-0.49330234034756026,-0.5494028609394946,-0.9628235770632529,-0.04833300546127674,-0.06488322452998524,0.10455895618643693,-0.5605620621346,balance_sheet,-0.44501520282940243,-0.2225044259973925,-0.4261228680872967,-0.425062717887689,-0.44771843172509823,-0.49968275956600017,-0.6863602399237085,0.594537528569937,0.6224184011710984,True,True,True,,,,,0.2797175510960273,,,,,,,,,
776,2021-06-30,中报,-0.7967149871379272,-0.5892300639360303,-0.5929452998346622,-0.6268755229358502,,-0.4550763208151716,-0.517313236630248,-0.9629824437650601,-0.04833300546127674,-0.06432040852333687,0.21933362459022135,-0.5229800365159349,balance_sheet,-0.4353865037411704,-0.22228290697269457,-0.4148101307287753,-0.4142540742683633,-0.4352611424595724,-0.4940031089515269,-0.7126687319071029,0.6978469951969768,0.38574732336019446,True,True,True,,,,,0.49831312760019,,,,,,,,,
2736,2019-09-30,三季报,-1.0127429350370358,-0.8117356960641878,-0.8406646711723705,-0.8753871077404588,,-0.5095086119882309,-0.635093144192653,-0.9568823421611447,-0.03433510640709407,-0.4185217700835656,-0.22887852836996708,-0.6873978761873919,balance_sheet,-0.45600848927208926,-0.22183162429377565,-0.5138878723359748,-0.5158621740622277,-0.530611205037033,-0.5833278438074021,-0.3042732326363793,0.5326783254086057,-0.19811852448312334,True,True,True,,,,,-0.174389428618855,,,,,,,,,
2736,2020-09-30,三季报,-0.9722020487654459,-0.7842108954138455,-0.7180876810497945,-0.7413806295388063,,-0.5184516552332437,-0.6307127944429206,-0.9568823421611447,-0.0001830550325866153,-0.2250675418431784,-0.22887852836996708,-0.6490051893704014,balance_sheet,-0.4455386101361962,-0.21956680033017922,-0.449142830901218,-0.45311587436944284,-0.47007154251207517,-0.511188683174865,-0.5975226823758883,0.5281798021025965,0.48886460015757016,True,True,True,,,,,-0.07447995176956472,,,,,,,,,
300308,2019-03-31,一季报,-1.1712381622558248,-0.9633683989386114,-1.0845102479010973,-1.1411852987681717,,-0.503056713683063,-0.6733629053606299,0.3281313153012048,-0.22028065095251206,-0.44133640392955575,-0.8843396695966197,-0.8773127894832796,balance_sheet,-0.47878469413002805,-0.22585760686689904,-0.6570733318220298,-0.6547639652220548,-0.6571837402007696,-0.7340881558049828,-0.6483771637589784,0.5321867405254865,0.2274759371944748,True,True,True,,,,,-0.6467864215728424,,,,,,,,,
600030,2020-06-30,中报,-0.4424058253231265,-0.2194249417488203,-0.21270577729283202,-0.21140175633298103,,-0.305610603211099,-0.28043528863113754,1.5685240963855422,0.07995669494376266,0.43162321831921924,0.4701494523994915,-0.2587475444241172,balance_sheet,-0.41325574253453906,-0.06311004046156021,-0.3067783977630865,-0.3057408327270138,-0.3397964362555953,-0.36803413796001744,-0.28931006577390816,0.5889878673199096,0.43639787911096306,True,True,True,,,,,1.1149075275606488,,,,,,,,,
600030,2021-06-30,中报,-0.2958924752019172,-0.0479717181854519,-0.15454962251428078,-0.14912264407386822,,-0.32104084139041944,-0.3186069617083808,1.5685240963855422,0.07995669494376266,0.4333427699391996,0.5882943465608784,-0.16697310370442825,balance_sheet,-0.38544847953273764,-0.19429185339786195,-0.17374951379234374,-0.17459841806614934,-0.2223839162565343,-0.23233093363560034,-0.6209424806282988,0.5596298350535217,0.49762167834839943,True,True,True,,,,,1.8973085108113608,,,,,,,,,
600941,2019-12-31,年报,0.024761168305324568,-0.47595468662220614,2.017676611153439,1.9987750299064553,,21.969614426796877,4.356275481144331,-0.9322289156626506,9.490755363273587,-4.907403860975074,0.912117000230107,8.8158216566782,balance_sheet,1.408564572923205,-0.09638915108818326,3.5892270331926075,3.5519055284333523,3.0445053212185043,3.671373902883237,2.217294935697135,-0.17886188765867925,-1.7733271518479998,True,True,True,,,,,2.3487344080538453,,,,,,,,,
600941,2021-06-30,中报,0.15399841155862176,-0.3851529631353095,2.017676611153439,1.9987750299064553,,22.104151775100178,5.897819931164835,-0.9314759036144579,9.490755363273587,-4.90743280929564,0.912117000230107,9.575840017740312,balance_sheet,0.6428499444262624,-0.0933863737957165,1.6460844814677977,1.6483350810774355,1.3989274021980236,1.7135704820031583,1.222793653587543,-0.17986108506963988,-0.8980447517645114,True,True,True,,,,,2.868695697842051,,,,,,,,,
600941,2021-09-30,三季报,0.15837191466533448,-0.3801630626029197,2.017676611153439,1.9987750299064553,,22.779706097752822,5.754635949865665,-0.9314759036144579,9.490755363273587,-4.902120792471702,0.912117000230107,9.577600507133765,balance_sheet,1.1621157719751054,-0.08257637554283613,2.734974705408141,2.7475912767807915,2.3698702239220917,2.868337326983456,2.2349355258267933,-0.7222365419325216,-2.731690567130591,True,True,True,,,,,2.646985777121243,,,,,,,,,
600941,2022-06-30,中报,0.23697570695294612,-0.3810958508613277,2.017676611153439,1.9987750299064553,,22.570714053522217,5.699185785917865,-0.9314759036144579,10.732960825638411,-4.899066744651943,0.912117000230107,10.120525376134825,balance_sheet,0.777837324611913,-0.0003002777292466768,2.0474442647360833,2.0536538895450254,1.786963507317552,2.1762817910623875,1.056844862767818,-0.2883295151261432,-1.1751618838944171,True,True,True,,,,,2.8298272948529513,,,,,,,,,
600941,2022-12-31,年报,0.2559650437937421,-0.37059188479333394,2.017676611153439,1.9987750299064553,,23.904514798398736,6.223047846934141,-0.963855421686747,10.732960825638411,-4.894073159354235,0.912117000230107,10.250690931916935,balance_sheet,1.8932748268215804,0.19187746898862648,4.144380831676432,4.176968702262189,3.7098144678224196,4.464913222372283,2.600864986916378,-2.108944913250586,-3.4455618598710527,True,True,True,,,,,1.4847029199801887,,,,,,,,,
600941,2023-09-30,三季报,0.2929050670999738,-0.3413476108147272,2.017676611153439,1.9987750299064553,,23.459834895075,6.054007050640443,-0.963855421686747,10.765047224372363,-4.888978254934544,0.912117000230107,10.395362920301087,balance_sheet,1.4836566387336885,-0.002101944104726738,3.41773911035785,3.434077186617791,3.0144395697322452,3.6374077325758507,2.1026253160543127,-0.6617184854086732,-3.4363607050933016,True,True,True,,,,,1.5020741655621224,,,,,,,,,
